State,District,D,R,,Comments,June Cook Ratings,Opposition Primary,
TX,TX-29,,,,,Safe D,,
TX,TX-30,,,,,Safe D,,
TX,TX-31,Imam,Carter (i),,,Likely R,,
TX,TX-32,Allred (i),Collins,,,Lean D,,
TX,TX-33,,,,,Safe D,,
TX,TX-34,,,,,Safe D,,
TX,TX-35,,,,,Safe D,,
TX,TX-36,,,,,Safe R,,
UT,UT-01,,,,,Safe R,,
UT,UT-02,,,,,Safe R,,
UT,UT-03,,,,,Safe R,,
UT,UT-04,McAdams (i),Owens,,,Lean D,,
VA,VA-01,,,,,Safe R,,
VA,VA-02,Luria (i),Taylor,,,Toss-Up,,
VA,VA-03,,,,,Safe D,,
VA,VA-04,,,,,Safe D,,
VA,VA-05,Webb,Good,,,Lean R,,
VA,VA-06,,,,,Safe R,,
VA,VA-07,Spanberger (i),,,,Toss-Up,July 18 R convention,
VA,VA-08,,,,,Safe D,,
VA,VA-09,,,,,Safe R,,
VA,VA-10,Wexton (i),Andrews,,,Safe D,,
VA,VA-11,,,,,Safe D,,
VT,VT-01,,,,,Safe D,,
WA,WA-01,,,,,Safe D,,
WA,WA-02,,,,,Safe D,,
WA,WA-03,,Herrera Beutler (i),,,Lean R,August 4 primary,
WA,WA-04,,,,,Safe R,,
WA,WA-05,,,,,Safe R,,
WA,WA-06,,,,,Safe D,,
WA,WA-07,,,,,Safe D,,
WA,WA-08,Schrier (i),,,,Likely D,August 4 primary,
WA,WA-09,,,,,Safe D,,
WA,WA-10,,,,,Safe D,,
WI,WI-01,,,,,Safe R,,
WI,WI-02,,,,,Safe D,,
WI,WI-03,Kind (i),,,,Likely D,August 11 primary,
WI,WI-04,,,,,Safe D,,
WI,WI-05,,,,,Safe R,,
WI,WI-06,,,,,Safe R,,
WI,WI-07,,,,,Safe R,,
WI,WI-08,,,,,Safe R,,
WV,WV-01,,,,,Safe R,,
WV,WV-02,,,,,Safe R,,
WV,WV-03,,,,,Safe R,,
WY,WY-01,,,,,Safe R,,
