state,district,favored,confidence,redistricting_voter_power,anti_gerrymandering_party,abs_power
WI,WI-HD-15,R,Safe,9.38E-08,D,9.38341E-08
UT,UT-HD-29,R,Safe,9.27E-08,D,9.27312E-08
WI,WI-HD-69,R,Safe,9.24E-08,D,9.24353E-08
SC,SC-SD-17,D,Likely,9.21E-08,D,9.20625E-08
UT,UT-HD-30,R,Likely,9.08E-08,D,9.07563E-08
WI,WI-HD-87,R,Safe,9.07E-08,D,9.07187E-08
UT,UT-HD-74,R,Safe,8.86E-08,D,8.86061E-08
UT,UT-HD-52,R,Safe,8.84E-08,D,8.84137E-08
WI,WI-HD-37,R,Safe,8.79E-08,D,8.79281E-08
MN,MN-HD-17B,R,Safe,-8.78E-08,R,8.78159E-08
WI,WI-SD-28,R,Safe,8.76E-08,D,8.76412E-08
WI,WI-HD-83,R,Safe,8.69E-08,D,8.68694E-08
WI,WI-HD-22,R,Safe,8.69E-08,D,8.68548E-08
WI,WI-HD-93,R,Safe,8.66E-08,D,8.66331E-08
UT,UT-HD-50,R,Safe,8.51E-08,D,8.50745E-08
UT,UT-HD-62,R,Safe,8.43E-08,D,8.42549E-08
WI,WI-HD-89,R,Safe,8.42E-08,D,8.4152E-08
MN,MN-HD-29B,R,Safe,-8.40E-08,R,8.39591E-08
WI,WI-HD-53,R,Safe,8.25E-08,D,8.24599E-08
UT,UT-HD-63,R,Safe,8.13E-08,D,8.13225E-08
MN,MN-HD-20A,R,Safe,-7.96E-08,R,7.96049E-08
MN,MN-HD-30A,R,Safe,-7.92E-08,R,7.91621E-08
MN,MN-HD-09A,R,Safe,-7.60E-08,R,7.59963E-08
MN,MN-HD-08A,R,Safe,-7.37E-08,R,7.36976E-08
UT,UT-HD-39,R,Likely,7.34E-08,D,7.34142E-08
IN,IN-HD-4,R,Lean,7.18E-08,D,7.17775E-08
MN,MN-HD-22A,R,Safe,-7.10E-08,R,7.10005E-08
MN,MN-HD-01B,R,Safe,-7.05E-08,R,7.05E-08
MN,MN-HD-09B,R,Safe,-7.01E-08,R,7.01042E-08
GA,GA-HD-105,D,Safe,6.94E-08,D,6.94137E-08
KY,KY-HD-37,D,Likely,6.83E-08,D,6.82834E-08
MN,MN-HD-12B,R,Safe,-6.75E-08,R,6.75199E-08
MN,MN-HD-01A,R,Safe,-6.74E-08,R,6.73784E-08
SC,SC-SD-11,D,Likely,6.71E-08,D,6.71478E-08
MN,MN-HD-18B,R,Safe,-6.67E-08,R,6.67013E-08
MN,MN-HD-31A,R,Safe,-6.54E-08,R,6.53696E-08
MN,MN-HD-31B,R,Safe,-6.45E-08,R,6.44754E-08
SC,SC-SD-27,D,Likely,6.44E-08,D,6.4442E-08
MN,MN-HD-29A,R,Safe,-6.40E-08,R,6.39828E-08
MN,MN-HD-16A,R,Safe,-6.36E-08,R,6.35964E-08
MN,MN-HD-55B,R,Safe,-6.11E-08,R,6.10847E-08
MN,MN-HD-47A,R,Safe,-5.92E-08,R,5.92199E-08
TX,TX-SD-19,D,Lean,5.83E-08,D,5.83298E-08
MA,MA-HD-1st Suffolk,D,Safe,-5.56E-08,R,5.55834E-08
MN,MN-HD-30B,R,Safe,-5.55E-08,R,5.55459E-08
MA,MA-HD-7th Middlesex,D,Safe,-5.40E-08,R,5.40269E-08
MA,MA-HD-11th Essex,D,Safe,-5.38E-08,R,5.38172E-08
MA,MA-HD-17th Essex,D,Safe,-5.35E-08,R,5.35001E-08
MN,MN-HD-13B,R,Safe,-5.26E-08,R,5.25779E-08
TN,TN-HD-76,R,Safe,5.16E-08,D,5.15827E-08
MA,MA-HD-9th Plymouth,D,Safe,-5.12E-08,R,5.12364E-08
MA,MA-HD-16th Essex,D,Safe,-5.11E-08,R,5.1117E-08
TN,TN-HD-36,R,Safe,5.10E-08,D,5.0954E-08
TN,TN-HD-20,R,Safe,5.05E-08,D,5.04929E-08
NM,NM-SD-7,R,Safe,-5.01E-08,R,5.00949E-08
GA,GA-HD-85,D,Safe,5.00E-08,D,5.00105E-08
TN,TN-HD-65,R,Safe,4.99E-08,D,4.98896E-08
NM,NM-SD-34,R,Safe,-4.97E-08,R,4.97065E-08
KY,KY-HD-56,D,Likely,4.94E-08,D,4.93897E-08
MA,MA-HD-10th Essex,D,Safe,-4.93E-08,R,4.9294E-08
OR,OR-HD-23,R,Safe,-4.93E-08,R,4.9288E-08
TN,TN-HD-66,R,Safe,4.93E-08,D,4.92674E-08
TN,TN-HD-17,R,Safe,4.92E-08,D,4.9249E-08
